id,createdAt,updatedAt,name,userId,crop0,crop1,crop2,crop3
0,2024-02-08,2024-02-08,ufxku,0,3,5,3,3
1,2024-02-08,2024-02-08,yjpqc,1,0,5,5,1
2,2024-02-08,2024-02-08,hdxvb,2,3,5,1,5
3,2024-02-08,2024-02-08,hhfhl,3,3,2,1,0
4,2024-02-08,2024-02-08,zlmtz,4,3,4,4,4
5,2024-02-08,2024-02-08,nlmrm,5,0,5,0,0
6,2024-02-08,2024-02-08,cksvs,6,4,0,2,3
7,2024-02-08,2024-02-08,fetpg,7,3,1,2,2
8,2024-02-08,2024-02-08,ofznu,8,3,3,0,3
9,2024-02-08,2024-02-08,tlkro,9,3,1,1,4
10,2024-02-08,2024-02-08,hvqml,10,2,5,3,4
11,2024-02-08,2024-02-08,ijbuw,11,1,1,4,5
12,2024-02-08,2024-02-08,afvfu,12,3,5,1,5
13,2024-02-08,2024-02-08,ndmdz,13,2,1,0,1
14,2024-02-08,2024-02-08,wyowy,14,4,3,4,0
15,2024-02-08,2024-02-08,dcnro,15,4,4,3,5
16,2024-02-08,2024-02-08,umxpf,16,2,4,2,0
17,2024-02-08,2024-02-08,xsnxv,17,3,1,4,1
18,2024-02-08,2024-02-08,ouoqu,18,4,2,0,1
19,2024-02-08,2024-02-08,vpzre,19,4,2,2,1
20,2024-02-08,2024-02-08,btkil,20,2,1,4,2
21,2024-02-08,2024-02-08,gsvbt,21,0,4,5,5
22,2024-02-08,2024-02-08,nveko,22,5,1,5,4
23,2024-02-08,2024-02-08,ckjwr,23,3,3,3,2
24,2024-02-08,2024-02-08,gqgtv,24,1,2,4,4
25,2024-02-08,2024-02-08,htbmx,25,1,2,3,0
26,2024-02-08,2024-02-08,qwqar,26,2,4,4,5
27,2024-02-08,2024-02-08,okdgp,27,5,5,1,0
28,2024-02-08,2024-02-08,jtfed,28,5,0,4,2
29,2024-02-08,2024-02-08,cpdxc,29,4,4,1,0
30,2024-02-08,2024-02-08,wnksf,30,1,3,3,2
31,2024-02-08,2024-02-08,yhlhz,31,4,1,5,0
32,2024-02-08,2024-02-08,llktu,32,1,2,3,5
33,2024-02-08,2024-02-08,zlkru,33,0,4,3,4
34,2024-02-08,2024-02-08,ffawk,34,3,0,4,4
35,2024-02-08,2024-02-08,pzitu,35,5,3,3,1
36,2024-02-08,2024-02-08,anovg,36,0,2,2,3
37,2024-02-08,2024-02-08,vmvem,37,1,0,4,4
38,2024-02-08,2024-02-08,agecd,38,3,0,1,1
39,2024-02-08,2024-02-08,hveyi,39,0,2,3,3
40,2024-02-08,2024-02-08,opoid,40,0,1,0,2
41,2024-02-08,2024-02-08,acwmc,41,2,3,4,4
42,2024-02-08,2024-02-08,dmcnp,42,0,1,0,0
43,2024-02-08,2024-02-08,hckdb,43,0,4,2,2
44,2024-02-08,2024-02-08,vdqvp,44,2,1,0,1
45,2024-02-08,2024-02-08,hepsk,45,2,3,3,3
46,2024-02-08,2024-02-08,prxzd,46,4,0,0,2
47,2024-02-08,2024-02-08,zvvzj,47,5,1,5,4
48,2024-02-08,2024-02-08,xjjfp,48,5,5,2,1
49,2024-02-08,2024-02-08,tkhsy,49,3,5,4,1
